Mix	B.cells	Macrophages.M1	Macrophages.M2	Monocytes	Neutrophils	NK.cells	T.cells.CD4	T.cells.CD8	Tregs	Dendritic.cells	Tumor
SimData1037	0	0	0	0	0	0	0	0	0	0	1
SimData1038	0.0786	0.0996	0.0367	0.1364	0.1707	0.1258	0.0741	0.0222	0.1676	0.0883	0
SimData1039	0.07074	0.08964	0.03303	0.12276	0.15363	0.11322	0.06669	0.01998	0.15084	0.07947	0.1
SimData104	0.1287	0.04104	0.09729	0.05715	0.18288	0.10062	0.17208	0.09684	0.00945	0.01395	0.1
SimData1040	0.06288	0.07968	0.02936	0.10912	0.13656	0.10064	0.05928	0.01776	0.13408	0.07064	0.2
SimData1041	0.05502	0.06972	0.02569	0.09548	0.11949	0.08806	0.05187	0.01554	0.11732	0.06181	0.3
SimData1042	0.04716	0.05976	0.02202	0.08184	0.10242	0.07548	0.04446	0.01332	0.10056	0.05298	0.4
SimData1043	0.0393	0.0498	0.01835	0.0682	0.08535	0.0629	0.03705	0.0111	0.0838	0.04415	0.5
SimData1044	0.03144	0.03984	0.01468	0.05456	0.06828	0.05032	0.02964	0.00888	0.06704	0.03532	0.6
SimData1045	0.03144	0.03984	0.01468	0.05456	0.06828	0.05032	0.02964	0.00888	0.06704	0.03532	0.6
SimData1046	0.03144	0.03984	0.01468	0.05456	0.06828	0.05032	0.02964	0.00888	0.06704	0.03532	0.6
SimData1047	0.03144	0.03984	0.01468	0.05456	0.06828	0.05032	0.02964	0.00888	0.06704	0.03532	0.6
SimData1048	0.03144	0.03984	0.01468	0.05456	0.06828	0.05032	0.02964	0.00888	0.06704	0.03532	0.6
SimData1049	0.03144	0.03984	0.01468	0.05456	0.06828	0.05032	0.02964	0.00888	0.06704	0.03532	0.6
SimData105	0.1144	0.03648	0.08648	0.0508	0.16256	0.08944	0.15296	0.08608	0.0084	0.0124	0.2
SimData1050	0.03144	0.03984	0.01468	0.05456	0.06828	0.05032	0.02964	0.00888	0.06704	0.03532	0.6
SimData1051	0.02358	0.02988	0.01101	0.04092	0.05121	0.03774	0.02223	0.00666	0.05028	0.02649	0.7
SimData1052	0.01572	0.01992	0.00734	0.02728	0.03414	0.02516	0.01482	0.00444	0.03352	0.01766	0.8
SimData1053	0.00786	0.00996	0.00367	0.01364	0.01707	0.01258	0.00741	0.00222	0.01676	0.00883	0.9
SimData1054	0	0	0	0	0	0	0	0	0	0	1
SimData1055	0.155384461553845	0.103289671032897	0.0468953104689531	0.0906909309069093	0.0436956304369563	0.150884911508849	0.126387361263874	0.0410958904109589	0.064993500649935	0.176682331766823	0
SimData1056	0.139847413732764	0.0929616334529892	0.0422062014418702	0.0816226539611435	0.0393264606185443	0.135797778199962	0.113749762521373	0.036986671199592	0.0584947354738074	0.159015688588027	0.0999910008099271
SimData1057	0.124310055195584	0.0826333893288537	0.0375169986401088	0.0725541956643468	0.0349572034237261	0.120710343172546	0.101111911047116	0.0328773698104152	0.0519958403327734	0.141348692104632	0.199984001279898
SimData1058	0.108772385932985	0.0723049386542942	0.0328277020608557	0.0634855560110792	0.0305878588498805	0.105622606417551	0.0884738068335217	0.0287679862409631	0.0454968152229344	0.123681342306039	0.299979001469897
SimData1059	0.0932344059356439	0.0619762814231146	0.0281383117012979	0.0544167349959003	0.0262184268943863	0.0905345679259244	0.0758354498730076	0.0246585204887707	0.0389976601403916	0.106013639181649	0.399976001439914
SimData106	0.1001	0.03192	0.07567	0.04445	0.14224	0.07826	0.13384	0.07532	0.00735	0.01085	0.3
SimData1060	0.0776961151942403	0.0516474176291185	0.0234488275586221	0.0453477326133693	0.0218489075546223	0.0754462276886156	0.0631968401579921	0.0205489725513724	0.0324983750812459	0.0883455827208639	0.499975001249937
SimData1061	0.062157513699452	0.0413183472661094	0.0187592496300148	0.0362785488580457	0.0174793008279669	0.0603575856965721	0.0505579776808928	0.0164393424263029	0.0259989600415983	0.0706771729130835	0.599976000959962
SimData1062	0.062157513699452	0.0413183472661094	0.0187592496300148	0.0362785488580457	0.0174793008279669	0.0603575856965721	0.0505579776808928	0.0164393424263029	0.0259989600415983	0.0706771729130835	0.599976000959962
SimData1063	0.062157513699452	0.0413183472661094	0.0187592496300148	0.0362785488580457	0.0174793008279669	0.0603575856965721	0.0505579776808928	0.0164393424263029	0.0259989600415983	0.0706771729130835	0.599976000959962
SimData1064	0.062157513699452	0.0413183472661094	0.0187592496300148	0.0362785488580457	0.0174793008279669	0.0603575856965721	0.0505579776808928	0.0164393424263029	0.0259989600415983	0.0706771729130835	0.599976000959962
SimData1065	0.062157513699452	0.0413183472661094	0.0187592496300148	0.0362785488580457	0.0174793008279669	0.0603575856965721	0.0505579776808928	0.0164393424263029	0.0259989600415983	0.0706771729130835	0.599976000959962
SimData1066	0.062157513699452	0.0413183472661094	0.0187592496300148	0.0362785488580457	0.0174793008279669	0.0603575856965721	0.0505579776808928	0.0164393424263029	0.0259989600415983	0.0706771729130835	0.599976000959962
SimData1067	0.062157513699452	0.0413183472661094	0.0187592496300148	0.0362785488580457	0.0174793008279669	0.0603575856965721	0.0505579776808928	0.0164393424263029	0.0259989600415983	0.0706771729130835	0.599976000959962
SimData1068	0.0466186014419567	0.0309890703278902	0.0140695779126626	0.0272091837244883	0.0131096067117986	0.0452686419407418	0.037918862434127	0.0123296301110967	0.0194994150175495	0.0530084097477076	0.699979000629981
SimData1069	0.0310793784124317	0.0206595868082638	0.00937981240375192	0.0181396372072559	0.00873982520349593	0.0301793964120718	0.0252794944101118	0.00821983560328793	0.0129997400051999	0.0353392932141357	0.799984000319994
SimData107	0.0858	0.02736	0.06486	0.0381	0.12192	0.06708	0.11472	0.06456	0.0063	0.0093	0.4
SimData1070	0.015539844601554	0.010329896701033	0.00468995310046899	0.00906990930090699	0.004369956300437	0.015089849101509	0.012639873601264	0.004109958900411	0.00649993500064999	0.017669823301767	0.899991000089999
SimData1071	0	0	0	0	0	0	0	0	0	0	1
SimData1072	3e-04	0.1393	0.1125	0.1081	0.1879	0.1084	0.0217	0.1404	0.0188	0.1626	0
SimData1073	0.00027	0.12537	0.10125	0.09729	0.16911	0.09756	0.01953	0.12636	0.01692	0.14634	0.1
SimData1074	0.00024	0.11144	0.09	0.08648	0.15032	0.08672	0.01736	0.11232	0.01504	0.13008	0.2
SimData1075	0.00021	0.09751	0.07875	0.07567	0.13153	0.07588	0.01519	0.09828	0.01316	0.11382	0.3
SimData1076	0.00018	0.08358	0.0675	0.06486	0.11274	0.06504	0.01302	0.08424	0.01128	0.09756	0.4
SimData1077	0.00015	0.06965	0.05625	0.05405	0.09395	0.0542	0.01085	0.0702	0.0094	0.0813	0.5
SimData1078	0.00012	0.05572	0.045	0.04324	0.07516	0.04336	0.00868	0.05616	0.00752	0.06504	0.6
SimData1079	0.00012	0.05572	0.045	0.04324	0.07516	0.04336	0.00868	0.05616	0.00752	0.06504	0.6
SimData108	0.0715	0.0228	0.05405	0.03175	0.1016	0.0559	0.0956	0.0538	0.00525	0.00775	0.5
SimData1080	0.00012	0.05572	0.045	0.04324	0.07516	0.04336	0.00868	0.05616	0.00752	0.06504	0.6
SimData1081	0.00012	0.05572	0.045	0.04324	0.07516	0.04336	0.00868	0.05616	0.00752	0.06504	0.6
SimData1082	0.00012	0.05572	0.045	0.04324	0.07516	0.04336	0.00868	0.05616	0.00752	0.06504	0.6
SimData1083	0.00012	0.05572	0.045	0.04324	0.07516	0.04336	0.00868	0.05616	0.00752	0.06504	0.6
SimData1084	0.00012	0.05572	0.045	0.04324	0.07516	0.04336	0.00868	0.05616	0.00752	0.06504	0.6
SimData1085	9e-05	0.04179	0.03375	0.03243	0.05637	0.03252	0.00651	0.04212	0.00564	0.04878	0.7
SimData1086	6e-05	0.02786	0.0225	0.02162	0.03758	0.02168	0.00434	0.02808	0.00376	0.03252	0.8
SimData1087	3e-05	0.01393	0.01125	0.01081	0.01879	0.01084	0.00217	0.01404	0.00188	0.01626	0.9
SimData1088	0	0	0	0	0	0	0	0	0	0	1
SimData1089	0.0488	0.0705	0.1043	0.063	0.1085	0.1247	0.1314	0.1101	0.0994	0.1393	0
SimData109	0.0572	0.01824	0.04324	0.0254	0.08128	0.04472	0.07648	0.04304	0.0042	0.0062	0.6
SimData1090	0.04392	0.06345	0.09387	0.0567	0.09765	0.11223	0.11826	0.09909	0.08946	0.12537	0.1
SimData1091	0.03904	0.0564	0.08344	0.0504	0.0868	0.09976	0.10512	0.08808	0.07952	0.11144	0.2
SimData1092	0.03416	0.04935	0.07301	0.0441	0.07595	0.08729	0.09198	0.07707	0.06958	0.09751	0.3
SimData1093	0.02928	0.0423	0.06258	0.0378	0.0651	0.07482	0.07884	0.06606	0.05964	0.08358	0.4
SimData1094	0.0244	0.03525	0.05215	0.0315	0.05425	0.06235	0.0657	0.05505	0.0497	0.06965	0.5
SimData1095	0.01952	0.0282	0.04172	0.0252	0.0434	0.04988	0.05256	0.04404	0.03976	0.05572	0.6
SimData1096	0.01952	0.0282	0.04172	0.0252	0.0434	0.04988	0.05256	0.04404	0.03976	0.05572	0.6
SimData1097	0.01952	0.0282	0.04172	0.0252	0.0434	0.04988	0.05256	0.04404	0.03976	0.05572	0.6
SimData1098	0.01952	0.0282	0.04172	0.0252	0.0434	0.04988	0.05256	0.04404	0.03976	0.05572	0.6
SimData1099	0.01952	0.0282	0.04172	0.0252	0.0434	0.04988	0.05256	0.04404	0.03976	0.05572	0.6
SimData11	0.00756	0.02712	0.09164	0.09024	0.00288	0.0388	0.00384	0.04348	0.08156	0.01288	0.6
SimData110	0.0572	0.01824	0.04324	0.0254	0.08128	0.04472	0.07648	0.04304	0.0042	0.0062	0.6
SimData1100	0.01952	0.0282	0.04172	0.0252	0.0434	0.04988	0.05256	0.04404	0.03976	0.05572	0.6
SimData1101	0.01952	0.0282	0.04172	0.0252	0.0434	0.04988	0.05256	0.04404	0.03976	0.05572	0.6
SimData1102	0.01464	0.02115	0.03129	0.0189	0.03255	0.03741	0.03942	0.03303	0.02982	0.04179	0.7
SimData1103	0.00976	0.0141	0.02086	0.0126	0.0217	0.02494	0.02628	0.02202	0.01988	0.02786	0.8
SimData1104	0.00488	0.00705	0.01043	0.0063	0.01085	0.01247	0.01314	0.01101	0.00994	0.01393	0.9
SimData1105	0	0	0	0	0	0	0	0	0	0	1
SimData1106	0.0783921607839216	0.12008799120088	0.15038496150385	0.177482251774823	0.117688231176882	0.0546945305469453	0.0306969303069693	0.0990900909909009	0.0604939506049395	0.110988901109889	0
SimData1107	0.0705536501714846	0.10808027277545	0.135347818696317	0.159735623793859	0.105920467157956	0.0492255696987271	0.0276275135237829	0.089181973622374	0.0544450999410053	0.0998910098091172	0.0999910008099271
SimData1108	0.0627149828013759	0.0960723142148628	0.120310375169986	0.141988640908727	0.0941524678025758	0.0437564994800416	0.0245580353571714	0.0792736581073514	0.0483961283097352	0.0887928965682745	0.199984001279898
SimData1109	0.0548761586688932	0.0840641155119142	0.105272630915836	0.124241303108782	0.0823842331036827	0.0382873198876079	0.0214884958052936	0.0693651444398892	0.0423470357075005	0.0776945613807034	0.299979001469897
SimData111	0.0572	0.01824	0.04324	0.0254	0.08128	0.04472	0.07648	0.04304	0.0042	0.0062	0.6
SimData1110	0.0470371777693338	0.0720556766594004	0.0902345859248445	0.106493610383377	0.0706157630542168	0.0328180309181449	0.018418894866308	0.0594564326140432	0.0362978221306722	0.0665960042397456	0.399976001439914
SimData1111	0.0391980400979951	0.0600469976501175	0.0751962401879906	0.0887455627218639	0.0588470576471177	0.0273486325683716	0.0153492325383731	0.0495475226238688	0.0302484875756212	0.0554972251387431	0.499975001249938
SimData1112	0.031358745650174	0.0480380784768609	0.0601575936962521	0.0709971601135954	0.047078116875325	0.0218791248350066	0.0122795088196472	0.0396384144634215	0.0241990320387185	0.0443982240710372	0.599976000959962
SimData1113	0.031358745650174	0.0480380784768609	0.0601575936962521	0.0709971601135954	0.047078116875325	0.0218791248350066	0.0122795088196472	0.0396384144634215	0.0241990320387185	0.0443982240710372	0.599976000959962
SimData1114	0.031358745650174	0.0480380784768609	0.0601575936962521	0.0709971601135954	0.047078116875325	0.0218791248350066	0.0122795088196472	0.0396384144634215	0.0241990320387185	0.0443982240710372	0.599976000959962
SimData1115	0.031358745650174	0.0480380784768609	0.0601575936962521	0.0709971601135954	0.047078116875325	0.0218791248350066	0.0122795088196472	0.0396384144634215	0.0241990320387185	0.0443982240710372	0.599976000959962
SimData1116	0.031358745650174	0.0480380784768609	0.0601575936962521	0.0709971601135954	0.047078116875325	0.0218791248350066	0.0122795088196472	0.0396384144634215	0.0241990320387185	0.0443982240710372	0.599976000959962
SimData1117	0.031358745650174	0.0480380784768609	0.0601575936962521	0.0709971601135954	0.047078116875325	0.0218791248350066	0.0122795088196472	0.0396384144634215	0.0241990320387185	0.0443982240710372	0.599976000959962
SimData1118	0.031358745650174	0.0480380784768609	0.0601575936962521	0.0709971601135954	0.047078116875325	0.0218791248350066	0.0122795088196472	0.0396384144634215	0.0241990320387185	0.0443982240710372	0.599976000959962
SimData1119	0.0235192944211674	0.036028919132426	0.0451186464406068	0.0532484025479236	0.0353089407317781	0.0164095077147686	0.00920972370828875	0.0297291081267562	0.0181494555163345	0.0332990010299691	0.699979000629981
SimData112	0.0572	0.01824	0.04324	0.0254	0.08128	0.04472	0.07648	0.04304	0.0042	0.0062	0.6
SimData1120	0.0156796864062719	0.0240195196096078	0.0300793984120318	0.0354992900141997	0.0235395292094158	0.0109397812043759	0.00613987720245595	0.0198196036079278	0.0120997580048399	0.0221995560088798	0.799984000319994
SimData1121	0.00783992160078399	0.012009879901201	0.015039849601504	0.017749822501775	0.011769882301177	0.00546994530054699	0.003069969300307	0.00990990090099099	0.00604993950060499	0.01109988900111	0.899991000089999
SimData1122	0	0	0	0	0	0	0	0	0	0	1
SimData1123	0.115	0.0594	0.0218	0.1818	0.1687	0.0997	0.0897	0.086	0.1233	0.0546	0
SimData1124	0.1035	0.05346	0.01962	0.16362	0.15183	0.08973	0.08073	0.0774	0.11097	0.04914	0.1
SimData1125	0.092	0.04752	0.01744	0.14544	0.13496	0.07976	0.07176	0.0688	0.09864	0.04368	0.2
SimData1126	0.0805	0.04158	0.01526	0.12726	0.11809	0.06979	0.06279	0.0602	0.08631	0.03822	0.3
SimData1127	0.069	0.03564	0.01308	0.10908	0.10122	0.05982	0.05382	0.0516	0.07398	0.03276	0.4
SimData1128	0.0575	0.0297	0.0109	0.0909	0.08435	0.04985	0.04485	0.043	0.06165	0.0273	0.5
SimData1129	0.046	0.02376	0.00872	0.07272	0.06748	0.03988	0.03588	0.0344	0.04932	0.02184	0.6
SimData113	0.0572	0.01824	0.04324	0.0254	0.08128	0.04472	0.07648	0.04304	0.0042	0.0062	0.6
SimData1130	0.046	0.02376	0.00872	0.07272	0.06748	0.03988	0.03588	0.0344	0.04932	0.02184	0.6
SimData1131	0.046	0.02376	0.00872	0.07272	0.06748	0.03988	0.03588	0.0344	0.04932	0.02184	0.6
SimData1132	0.046	0.02376	0.00872	0.07272	0.06748	0.03988	0.03588	0.0344	0.04932	0.02184	0.6
SimData1133	0.046	0.02376	0.00872	0.07272	0.06748	0.03988	0.03588	0.0344	0.04932	0.02184	0.6
SimData1134	0.046	0.02376	0.00872	0.07272	0.06748	0.03988	0.03588	0.0344	0.04932	0.02184	0.6
SimData1135	0.046	0.02376	0.00872	0.07272	0.06748	0.03988	0.03588	0.0344	0.04932	0.02184	0.6
SimData1136	0.0345	0.01782	0.00654	0.05454	0.05061	0.02991	0.02691	0.0258	0.03699	0.01638	0.7
SimData1137	0.023	0.01188	0.00436	0.03636	0.03374	0.01994	0.01794	0.0172	0.02466	0.01092	0.8
SimData1138	0.0115	0.00594	0.00218	0.01818	0.01687	0.00997	0.00897	0.0086	0.01233	0.00546	0.9
SimData1139	0	0	0	0	0	0	0	0	0	0	1
SimData114	0.0572	0.01824	0.04324	0.0254	0.08128	0.04472	0.07648	0.04304	0.0042	0.0062	0.6
SimData1140	0.0524052405240524	0.0188018801880188	0.0964096409640964	0.106010601060106	0.0862086208620862	0.147714771477148	0.126012601260126	0.141714171417142	0.142114211421142	0.0826082608260826	0
SimData1141	0.0471642447820304	0.0169215229370643	0.0867678091028193	0.0954085867728096	0.0775869828284546	0.13294196477683	0.113410206918623	0.127541478733086	0.127901511136002	0.0743466912022082	0.100009000810073
SimData1142	0.0419233538683095	0.0150412032962637	0.0771261700936075	0.0848067845427634	0.0689655172413793	0.118169453556284	0.100808064645172	0.113369069525562	0.11368909512761	0.0660852868229458	0.200016001280102
SimData1143	0.0366825677797446	0.0131609212644885	0.0674847239306751	0.0742051943636055	0.0603442240956867	0.103397237806646	0.0882061744322103	0.099196943786065	0.0994769633874371	0.0578240476833378	0.300021001470103
SimData1144	0.0314418865131908	0.0112806768406104	0.0578434706082365	0.0636038162289737	0.0517231033862032	0.0886253175190511	0.0756045362721763	0.0850251015060904	0.0852651159069544	0.0495629737784267	0.400024001440086
SimData1145	0.0262013100655033	0.00940047002350118	0.048202410120506	0.0530026501325066	0.0431021551077554	0.0738536926846342	0.0630031501575079	0.0708535426771339	0.0710535526776339	0.0413020651032552	0.500025001250063
SimData1146	0.0209608384335373	0.00752030081203248	0.0385615424616985	0.0424016960678427	0.0344813792551702	0.0590823632945318	0.0504020160806432	0.0566822672906916	0.0568422736909476	0.0330413216528661	0.600024000960038
SimData1147	0.0209608384335373	0.00752030081203248	0.0385615424616985	0.0424016960678427	0.0344813792551702	0.0590823632945318	0.0504020160806432	0.0566822672906916	0.0568422736909476	0.0330413216528661	0.600024000960038
SimData1148	0.0209608384335373	0.00752030081203248	0.0385615424616985	0.0424016960678427	0.0344813792551702	0.0590823632945318	0.0504020160806432	0.0566822672906916	0.0568422736909476	0.0330413216528661	0.600024000960038
SimData1149	0.0209608384335373	0.00752030081203248	0.0385615424616985	0.0424016960678427	0.0344813792551702	0.0590823632945318	0.0504020160806432	0.0566822672906916	0.0568422736909476	0.0330413216528661	0.600024000960038
SimData115	0.0572	0.01824	0.04324	0.0254	0.08128	0.04472	0.07648	0.04304	0.0042	0.0062	0.6
SimData1150	0.0209608384335373	0.00752030081203248	0.0385615424616985	0.0424016960678427	0.0344813792551702	0.0590823632945318	0.0504020160806432	0.0566822672906916	0.0568422736909476	0.0330413216528661	0.600024000960038
SimData1151	0.0209608384335373	0.00752030081203248	0.0385615424616985	0.0424016960678427	0.0344813792551702	0.0590823632945318	0.0504020160806432	0.0566822672906916	0.0568422736909476	0.0330413216528661	0.600024000960038
SimData1152	0.0209608384335373	0.00752030081203248	0.0385615424616985	0.0424016960678427	0.0344813792551702	0.0590823632945318	0.0504020160806432	0.0566822672906916	0.0568422736909476	0.0330413216528661	0.600024000960038
SimData1153	0.0157204716141484	0.00564016920507615	0.0289208676260288	0.0318009540286209	0.0258607758232747	0.0443113293398802	0.037801134034021	0.0425112753382602	0.0426312789383682	0.0247807434223027	0.700021000630019
SimData1154	0.0104802096041921	0.00376007520150403	0.0192803856077122	0.0212004240084802	0.0172403448068961	0.0295405908118162	0.0252005040100802	0.0283405668113362	0.0284205684113682	0.0165203304066081	0.800016000320006
SimData1155	0.005240052400524	0.001880018800188	0.00964009640096401	0.01060010600106	0.00862008620086201	0.014770147701477	0.01260012600126	0.014170141701417	0.014210142101421	0.00826008260082601	0.900009000090001
SimData1156	0	0	0	0	0	0	0	0	0	0	1
SimData1157	0.0553055305530553	0.0524052405240524	0.134413441344134	0.141614161416142	0.0338033803380338	0.0986098609860986	0.144214421442144	0.144314431443144	0.170817081708171	0.0245024502450245	0
SimData1158	0.0497744797031733	0.0471642447820304	0.120970887379864	0.127451470632357	0.0304227380464242	0.0887479873188587	0.129791681251313	0.129881689352042	0.153733836045244	0.0220519846786211	0.100009000810073
SimData1159	0.0442435394831587	0.0419233538683095	0.107528602288183	0.11328906312505	0.0270421633730698	0.0788863109048724	0.115369229538363	0.115449235938875	0.136650932074566	0.01960156812545	0.200016001280102
SimData116	0.0429	0.01368	0.03243	0.01905	0.06096	0.03354	0.05736	0.03228	0.00315	0.00465	0.7
SimData1160	0.0387127098896923	0.0366825677797446	0.0940865860610243	0.099126938885722	0.0236616563159421	0.0690248317382217	0.100947066294641	0.101017071194984	0.119568369785885	0.0171512005840409	0.300021001470103
SimData1161	0.0331819909194552	0.0314418865131908	0.0806448386903214	0.0849650979058743	0.0202812168730124	0.0591635498129888	0.0865251915114907	0.0865851951117067	0.10248614916895	0.0147008820529232	0.400024001440086
SimData1162	0.0276513825691285	0.0262013100655033	0.0672033601680084	0.0708035401770089	0.0169008450422521	0.0493024651232562	0.072103605180259	0.072153607680384	0.0854042702135107	0.0122506125306265	0.500025001250063
SimData1163	0.0221208848353934	0.0209608384335373	0.0537621504860194	0.0566422656906276	0.0135205408216329	0.0394415776631065	0.0576823072922917	0.0577223088923557	0.0683227329093164	0.00980039201568063	0.600024000960038
